"CustomerID";"Recency";"Frequency";"Monetary"
13003;106;3;149.05
13004;12;46;11143.99
13005;174;6;935.03
13006;57;1;81.57
13007;580;1;175.25
13008;324;7;543.28
13009;673;1;234.0
13010;375;2;330.12
13011;373;1;101.1
13012;10;15;2591.18
13013;2;31;12601.82
13014;3;18;5220.83
13015;54;14;6465.72
13016;74;3;789.89
13017;8;1;204.0
13018;17;37;9742.81
13019;380;8;1212.95
13020;549;5;606.96
13021;5;24;4786.38
13022;430;1;65.3
13023;65;3;1449.03
13024;465;3;535.42
13025;732;1;323.39
13026;2;13;1690.12
13027;114;23;17148.0
13028;23;3;659.68
13029;31;5;1927.3
13030;12;2;1227.22
13031;408;5;3419.27
13032;39;11;2817.59
13033;358;2;220.55
13034;55;3;922.68
13035;58;4;1328.95
13036;685;1;307.1
13037;139;16;3842.55
13038;81;3;908.46
13039;585;4;1010.73
13040;9;2;676.99
13041;451;4;799.13
13042;585;4;1522.79
13043;254;2;471.57
13044;292;13;4824.2
13045;100;3;808.92
13046;31;3;949.25
13047;32;42;8466.72
13048;15;13;4035.16
13049;65;5;1384.14
13050;10;57;11822.44
13051;579;2;155.8
13052;213;7;3168.53
13053;622;1;127.65
13054;683;1;-14.0
13055;65;6;2292.51
13056;552;1;209.48
13057;531;4;540.74
13058;25;3;271.4
13059;250;12;2272.62
13060;254;1;307.53
13061;73;1;248.61
13062;192;1;346.98
13063;481;1;188.4
13064;13;6;1680.74
13065;374;6;1255.96
13066;25;3;430.9
13067;83;3;508.51
13068;11;2;344.0
13069;1;42;8747.47
13070;193;5;743.9
13071;613;1;129.22
13072;267;1;177.15
13073;412;2;418.08
13074;512;5;1362.84
13075;130;1;919.61
13076;458;1;135.4
13077;2;14;3040.17
13078;2;95;28883.83
13079;5;6;419.18
13080;180;5;260.83
13081;2;44;58328.15
13082;127;25;7268.92
13083;5;3;395.43
13084;488;2;116.45
13085;158;10;1459.46
13086;383;1;439.33
13087;727;1;313.64
13088;418;1;236.11
13089;3;247;113214.19
13090;9;30;13771.28
13091;22;6;-130.22
13092;71;15;2007.33
13093;268;88;54073.73
13094;22;17;2214.66
13095;71;1;74.4
13096;395;1;419.7
13097;33;40;12861.73
13098;2;41;28658.88
13099;100;1;207.36
13100;625;1;-1598.67
13101;235;4;695.4
13102;2;42;11440.12
13103;40;3;709.64
13104;4;9;1709.1
13105;437;1;72.0
13106;129;3;586.46
13107;45;15;5109.62
13108;373;2;1098.52
13109;3;7;1107.58
13110;32;14;2896.17
13111;719;1;321.88
13112;542;3;-5.44
13113;1;60;16600.25
13114;731;1;234.38
13115;9;23;5374.45
13116;118;2;485.19
13117;22;19;2642.11
13118;20;12;2334.1
13119;669;1;134.9
13120;239;1;30.6
13121;270;2;254.73
13122;95;2;922.39
13123;473;2;506.75
13124;90;4;4782.45
13125;524;1;158.57
13126;5;19;3902.47
13127;78;1;259.17
13128;632;1;263.5
13129;453;2;233.25
13130;95;1;64.0
13131;24;8;3279.77
13132;262;1;77.3
13133;274;3;200.45
13134;73;9;2422.28
13135;197;2;3371.45
13136;51;24;6077.8
13137;11;17;7667.37
13138;23;8;1454.49
13139;17;9;8193.83
13140;109;5;1215.68
13141;85;21;7536.63
13142;20;1;307.09
13143;583;2;399.2
13144;333;2;135.35
13145;40;8;1419.77
13146;27;1;228.91
13147;11;4;712.8
13148;30;36;8123.6
13149;15;4;1676.06
13150;471;4;435.02
13151;204;5;2511.69
13152;418;9;2114.98
13153;6;1;486.22
13154;145;5;997.43
13155;34;6;1750.18
13156;386;3;1586.54
13157;50;10;5667.71
13158;95;5;1508.18
13159;9;5;1379.75
13160;23;1;91.8
13161;314;2;478.88
13162;123;19;9116.94
13163;611;2;0.0
13164;570;3;297.46
13165;47;3;1451.16
13166;283;3;881.68
13167;19;5;1125.15
13168;37;6;1866.26
13169;64;3;840.08
13170;27;1;116.01
13171;9;5;426.81
13172;401;1;69.6
13173;5;13;2620.5
13174;17;12;9494.84
13175;555;4;793.1
13176;47;1;492.84
13177;65;2;512.2
13178;27;25;13997.89
13179;619;1;572.31
13180;608;1;86.1
13181;382;1;359.69
13182;46;1;121.18
13183;8;18;7010.88
13184;15;12;1648.79
13185;268;1;71.4
13186;40;5;1539.69
13187;338;5;348.31
13188;12;1;114.6
13189;19;2;260.68
13190;545;4;518.76
13191;659;1;164.69
13192;96;8;2544.53
13193;62;1;117.88
13194;136;2;472.78
13195;415;1;172.38
13196;12;8;3059.64
13197;610;1;373.01
13198;11;12;4912.28
13199;4;69;16404.98
13200;20;4;870.09
13201;503;4;1240.61
13202;379;8;1571.35
13203;10;11;2630.55
13204;732;1;966.66
13205;444;1;2803.2
13206;401;15;8280.13
13207;16;4;535.86
13208;59;10;1970.5
13209;31;16;8438.06
13210;94;1;353.48
13211;11;12;2706.87
13212;10;4;780.58
13213;57;14;3834.62
13214;418;7;3264.23
13215;403;1;81.6
13216;268;1;333.74
13217;123;6;266.12
13218;128;1;62.64
13219;619;1;76.23
13220;79;5;1336.09
13221;241;2;847.41
13222;578;1;88.5
13223;201;6;969.12
13224;61;3;2150.85
13225;4;17;15879.27
13226;274;2;312.46
13227;202;1;257.7
13228;82;1;358.0
13229;226;1;160.95
13230;5;31;6317.22
13231;547;1;-355.2
13232;13;7;1357.6
13233;75;4;1176.46
13234;673;2;356.95
13235;212;2;101.17
13236;25;3;727.27
13237;388;1;643.0
13238;12;7;986.73
13239;262;6;1579.84
13240;97;9;1661.17
13241;412;1;115.58
13242;113;7;699.4
13243;204;5;1278.04
13244;93;1;121.74
13245;51;2;989.22
13246;19;14;3277.68
13247;18;4;501.12
13248;125;2;465.68
13249;93;9;1608.93
13250;453;3;248.54
13251;403;1;252.68
13252;395;3;341.3
13253;157;4;2951.11
13254;377;1;51.41
13255;4;4;895.61
13257;428;3;117.95
13258;12;5;1035.18
13259;62;9;1433.38
13260;62;1;557.62
13261;269;2;944.1
13262;264;3;573.45
13263;2;39;8704.69
13264;443;1;722.56
13265;54;5;2107.66
13266;12;30;5965.3
13267;3;50;9512.21
13268;18;15;3167.64
13269;2;30;8861.39
13270;367;1;1180.0
13271;38;2;178.26
13272;32;2;276.56
13273;114;1;138.98
13274;410;1;360.85
13275;384;2;241.66
13276;64;7;1918.56
13277;16;7;523.3
13278;41;5;1428.2
13279;65;2;126.3
13280;123;8;2297.13
13281;438;3;306.45
13282;19;7;1228.89
13283;60;4;373.36
13284;323;2;196.15
13285;24;6;3364.59
13286;601;1;734.91
13287;584;7;519.67
13288;444;6;892.16
13289;724;1;307.95
13290;431;3;-208.63
13291;156;11;3320.84
13292;39;6;987.79
13293;393;7;1180.34
13294;190;3;1689.53
13295;360;9;1058.02
13296;138;6;792.51
13297;8;8;4352.67
13298;2;1;360.0
13299;269;5;1173.3
13300;165;5;1267.21
13301;104;4;618.09
13302;156;2;159.2
13303;401;1;61.72
13304;352;7;1120.79
13305;5;16;3754.71
13306;431;1;53.65
13307;121;3;273.34
13308;23;5;1652.47
13309;8;6;1706.37
13310;9;8;1492.8
13311;5;2;598.57
13312;452;1;124.75
13313;23;15;3423.27
13314;2;4;578.66
13315;690;1;310.26
13316;38;12;12906.93
13317;65;31;6068.53
13318;2;3;640.76
13319;6;78;21706.09
13320;71;9;2160.95
13321;73;2;567.36
13322;18;1;199.48
13323;4;5;787.85
13324;33;23;10421.37
13325;82;1;675.3
13326;433;1;281.76
13327;39;22;9741.03
13328;317;1;1308.48
13329;32;14;4977.02
13330;93;6;2806.18
13331;402;1;262.4
13332;15;1;350.9
13333;412;3;1015.74
13334;83;6;6257.0
13335;541;1;-955.06
13336;78;1;795.12
13337;519;2;1548.55
13338;155;10;2223.62
13339;201;1;860.12
13340;46;12;22100.56
13341;261;1;775.85
13342;583;1;-14.1
13343;173;2;303.93
13344;68;3;2543.72
13345;277;2;377.6
13346;463;6;299.4
13347;71;1;341.36
13348;65;1;233.76
13349;11;1;247.32
13350;17;3;910.72
13351;67;1;373.94
13352;8;2;389.28
13353;389;1;-28.85
13354;72;1;743.53
13355;123;1;674.7
13356;81;1;768.24
13357;258;5;3838.36
13358;269;1;439.03
13359;60;4;1001.96
13360;429;7;1464.1
13361;473;2;1450.5
13362;4;10;5357.57
13363;18;3;1723.86
13364;67;2;0.0
13365;9;4;2164.32
13366;51;1;56.16
13367;432;1;510.2
13368;257;5;1086.1
13369;355;2;572.03
13370;367;2;1442.64
13371;499;4;2271.46
13372;90;1;378.64
13373;61;6;7587.19
13374;415;2;422.8
13375;82;3;1786.48
13376;100;3;1019.76
13377;397;4;1495.43
13378;423;1;-756.4
13379;27;3;572.56
13380;433;1;62.4
13381;22;15;8185.02
13382;281;5;1387.58
13383;544;1;305.28
13384;31;15;6635.09
13385;330;1;534.57
13386;415;2;835.46
13387;418;1;189.44
13388;122;4;1135.7
13389;12;3;797.96
13390;75;1;544.08
13391;204;1;59.8
13392;678;1;91.14
13393;584;6;1105.85
13394;2;24;6323.88
13395;186;3;1180.23
13396;22;4;1325.29
13397;73;13;3094.11
13398;193;2;670.34
13399;465;3;275.4
13400;575;2;300.93
13401;625;1;-1834.14
13402;128;4;1535.13
13403;18;3;229.5
13404;2;2;252.49
13405;75;9;1196.56
13406;428;3;557.22
13407;579;6;2111.89
13408;2;135;50852.85
13409;625;1;-525.65
13410;9;12;2172.51
13411;108;1;213.55
13412;621;1;487.35
13413;640;8;345.8
13414;134;7;2482.24
13415;473;5;681.92
13416;44;3;940.8
13417;5;7;1593.89
13418;12;37;11916.16
13419;64;1;221.06
13420;135;4;140.35
13421;41;11;4088.82
13422;52;2;2601.55
13423;429;1;217.03
13424;445;2;557.92
13425;109;8;3375.93
13426;1;24;8076.76
13427;20;6;1006.53
13428;11;3;499.98
13429;11;4;1006.8
13430;19;4;648.69
13431;68;9;3289.24
13432;572;2;439.1
13433;438;5;656.87
13434;75;5;1666.86
13435;6;11;4459.83
13436;2;1;196.89
13437;15;7;3408.06
13438;548;1;46.5
13439;256;3;986.61
13440;424;10;1213.95
13441;92;2;720.9
13442;668;3;419.87
13443;449;7;1247.71
13444;375;2;631.68
13445;627;1;241.9
13446;421;18;3608.86
13447;24;4;1104.23
13448;17;19;8447.75
13449;24;1;291.88
13450;27;14;4117.54
13451;27;13;7119.97
13452;260;3;729.8
13453;166;5;758.99
13454;642;1;219.87
13455;25;11;2773.82
13456;18;7;1737.82
13457;689;4;143.27
13458;8;24;11850.62
13459;625;2;1160.41
13460;30;2;183.44
13461;39;8;4138.5
13462;184;6;1145.6
13463;421;1;-158.65
13464;59;7;3083.89
13465;447;2;931.12
13466;101;7;952.25
13467;11;2;1083.71
13468;2;87;13091.61
13469;654;1;82.4
13470;100;2;165.0
13471;2;4;2531.58
13472;464;2;592.24
13473;61;10;2410.98
13474;237;3;663.79
13475;192;4;1431.78
13476;179;7;1915.77
13477;38;13;2821.12
13478;470;7;2068.03
13479;199;7;808.5
13480;417;2;627.82
13481;46;14;3798.84
13482;233;2;336.09
13483;66;1;140.34
13484;242;4;767.32
13485;234;15;2957.92
13486;79;3;1122.41
13487;58;5;846.87
13488;18;29;15513.73
13489;106;4;449.52
13490;655;1;154.25
13491;52;27;4566.56
13492;137;3;1269.84
13493;276;2;618.63
13494;312;1;316.26
13495;8;13;5246.61
13496;11;3;617.93
13497;283;7;1266.33
13498;731;1;327.38
13499;18;7;1146.96
13500;24;5;1436.3
13501;243;5;2840.26
13502;17;6;774.6
13503;72;12;1793.54
13504;65;1;295.93
13505;68;8;4282.88
13506;313;8;1609.65
13507;4;4;2479.16
13508;244;2;287.05
13509;9;8;1114.72
13510;2;17;4488.39
13511;484;2;244.61
13512;261;4;713.39
13513;127;4;796.99
13514;74;4;815.9
13515;73;6;1265.82
13516;22;4;1685.26
13517;60;5;2109.07
13518;86;1;659.44
13519;51;3;331.26
13520;59;15;6680.65
13521;2;3;1093.65
13522;31;1;125.8
13523;34;7;4892.02
13524;41;5;680.18
13525;15;2;628.78
13526;739;4;942.6
13527;34;14;4650.04
13528;683;1;-40.0
13529;79;2;307.76
13530;635;1;402.98
13531;206;6;1738.52
13532;34;1;210.31
13533;183;3;270.79
13534;3;60;7324.5
13535;403;1;89.5
13536;2;7;3448.29
13537;426;2;717.85
13538;44;12;3112.73
13539;86;9;1531.26
13540;468;3;632.39
13541;424;3;717.9
13542;377;18;3970.77
13543;635;2;1439.61
13544;40;7;820.5
13545;391;3;347.35
13546;13;5;1092.14
13547;409;1;175.53
13548;97;3;908.99
13549;26;9;1003.72
13550;384;1;349.51
13551;320;2;244.2
13552;67;32;6618.63
13553;675;1;517.8
13554;381;10;1556.39
13555;74;16;8906.34
13556;430;2;200.82
13557;29;16;2980.08
